"","Year","Type.of.Land.Use","Region","value"
"2867","2001","Hay","Mid-West",39
"2868","2002","Hay","Mid-West",32.4
"2869","2003","Hay","Mid-West",29.4
"2870","2004","Hay","Mid-West",29.2
"2871","2005","Hay","Mid-West",34.1
"2872","2006","Hay","Mid-West",37.2
"2873","2007","Hay","Mid-West",32.6
"2874","1991","Grass silage","Mid-West",113.2
"2875","1992","Grass silage","Mid-West",118.7
"2876","1993","Grass silage","Mid-West",127.1
"2877","1994","Grass silage","Mid-West",135.6
"2878","1995","Grass silage","Mid-West",134.2
"2879","1996","Grass silage","Mid-West",136.7
"2880","1997","Grass silage","Mid-West",136.4
"2881","1998","Grass silage","Mid-West",143
"2882","1999","Grass silage","Mid-West",146.2
"2883","2000","Grass silage","Mid-West",158
"2884","2001","Grass silage","Mid-West",158.9
"2885","2002","Grass silage","Mid-West",152.5
"2886","2003","Grass silage","Mid-West",150.2
"2887","2004","Grass silage","Mid-West",153.7
"2888","2005","Grass silage","Mid-West",178.5
"2889","2006","Grass silage","Mid-West",180.4
"2890","2007","Grass silage","Mid-West",154
"2891","1991","Total crops, fruit and horticulture","Mid-West",14
"2892","1992","Total crops, fruit and horticulture","Mid-West",14.3
"2893","1993","Total crops, fruit and horticulture","Mid-West",14.4
"2894","1994","Total crops, fruit and horticulture","Mid-West",13.2
"2895","1995","Total crops, fruit and horticulture","Mid-West",13.7
"2896","1996","Total crops, fruit and horticulture","Mid-West",14
"2897","1997","Total crops, fruit and horticulture","Mid-West",13.8
"2898","1998","Total crops, fruit and horticulture","Mid-West",14.2
"2899","1999","Total crops, fruit and horticulture","Mid-West",12.7
"2900","2000","Total crops, fruit and horticulture","Mid-West",17.2
"2901","2001","Total crops, fruit and horticulture","Mid-West",19.5
"2902","2002","Total crops, fruit and horticulture","Mid-West",18.3
"2903","2003","Total crops, fruit and horticulture","Mid-West",19.1
"2904","2004","Total crops, fruit and horticulture","Mid-West",17.6
"2905","2005","Total crops, fruit and horticulture","Mid-West",16.1
"2906","2006","Total crops, fruit and horticulture","Mid-West",14.6
"2907","2007","Total crops, fruit and horticulture","Mid-West",15.6
"2908","1991","Beans and peas","Mid-West",0
"2909","1992","Beans and peas","Mid-West",0
"2910","1993","Beans and peas","Mid-West",0.2
"2911","1994","Beans and peas","Mid-West",0.1
"2912","1995","Beans and peas","Mid-West",0
"2913","1996","Beans and peas","Mid-West",0.5
"2914","1997","Beans and peas","Mid-West",0.1
"2915","1998","Beans and peas","Mid-West",0.5
"2916","1999","Beans and peas","Mid-West",0.1
"2917","2000","Beans and peas","Mid-West",0.1
"2918","2001","Beans and peas","Mid-West",0.1
"2919","2002","Beans and peas","Mid-West",0.1
"2920","2003","Beans and peas","Mid-West",0.1
"2921","2004","Beans and peas","Mid-West",0
"2922","2005","Beans and peas","Mid-West",0.1
"2923","2006","Beans and peas","Mid-West",0.1
"2924","2007","Beans and peas","Mid-West",0.1
"2925","1991","Oilseed rape","Mid-West",0
"2926","1992","Oilseed rape","Mid-West",0
"2927","1993","Oilseed rape","Mid-West",0
"2928","1994","Oilseed rape","Mid-West",0.1
"2929","1995","Oilseed rape","Mid-West",0
"2930","1996","Oilseed rape","Mid-West",0
"2931","1997","Oilseed rape","Mid-West",0
"2932","1998","Oilseed rape","Mid-West",0
"2933","1999","Oilseed rape","Mid-West",0
"2934","2000","Oilseed rape","Mid-West",0.2
"2935","2001","Oilseed rape","Mid-West",0.1
"2936","2002","Oilseed rape","Mid-West",0.1
"2937","2003","Oilseed rape","Mid-West",0.2
"2938","2004","Oilseed rape","Mid-West",0.2
"2939","2005","Oilseed rape","Mid-West",0.3
"2940","2006","Oilseed rape","Mid-West",0.4
"2941","2007","Oilseed rape","Mid-West",1
"2942","1991","Arable silage","Mid-West",NA
"2943","1992","Arable silage","Mid-West",NA
"2944","1993","Arable silage","Mid-West",NA
"2945","1994","Arable silage","Mid-West",NA
"2946","1995","Arable silage","Mid-West",NA
"2947","1996","Arable silage","Mid-West",NA
"2948","1997","Arable silage","Mid-West",NA
"2949","1998","Arable silage","Mid-West",NA
"2950","1999","Arable silage","Mid-West",NA
"2951","2000","Arable silage","Mid-West",3.2
"2952","2001","Arable silage","Mid-West",3.3
"2953","2002","Arable silage","Mid-West",2.3
"2954","2003","Arable silage","Mid-West",4.5
"2955","2004","Arable silage","Mid-West",2.7
"2956","2005","Arable silage","Mid-West",2.3
"2957","2006","Arable silage","Mid-West",2
"2958","2007","Arable silage","Mid-West",2.6
"2959","1991","Maize silage","Mid-West",NA
"2960","1992","Maize silage","Mid-West",NA
"2961","1993","Maize silage","Mid-West",NA
"2962","1994","Maize silage","Mid-West",NA
"2963","1995","Maize silage","Mid-West",NA
"2964","1996","Maize silage","Mid-West",NA
"2965","1997","Maize silage","Mid-West",NA
"2966","1998","Maize silage","Mid-West",NA
"2967","1999","Maize silage","Mid-West",NA
"2968","2000","Maize silage","Mid-West",0.8
"2969","2001","Maize silage","Mid-West",1.4
"2970","2002","Maize silage","Mid-West",1.2
"2971","2003","Maize silage","Mid-West",0.8
"2972","2004","Maize silage","Mid-West",0.8
"2973","2005","Maize silage","Mid-West",0.8
"2974","2006","Maize silage","Mid-West",1.2
"2975","2007","Maize silage","Mid-West",1.1
"2976","1991","Fodder rape and kale","Mid-West",NA
"2977","1992","Fodder rape and kale","Mid-West",NA
"2978","1993","Fodder rape and kale","Mid-West",NA
"2979","1994","Fodder rape and kale","Mid-West",NA
"2980","1995","Fodder rape and kale","Mid-West",NA
"2981","1996","Fodder rape and kale","Mid-West",NA
"2982","1997","Fodder rape and kale","Mid-West",NA
"2983","1998","Fodder rape and kale","Mid-West",NA
"2984","1999","Fodder rape and kale","Mid-West",NA
"2985","2000","Fodder rape and kale","Mid-West",0.1
"2986","2001","Fodder rape and kale","Mid-West",0.1
"2987","2002","Fodder rape and kale","Mid-West",0.1
"2988","2003","Fodder rape and kale","Mid-West",0.1
"2989","2004","Fodder rape and kale","Mid-West",0.1
"2990","2005","Fodder rape and kale","Mid-West",0.1
"2991","2006","Fodder rape and kale","Mid-West",0.2
"2992","2007","Fodder rape and kale","Mid-West",0.3
"2993","1991","Potatoes","Mid-West",0.5
"2994","1992","Potatoes","Mid-West",0.7
"2995","1993","Potatoes","Mid-West",0.6
"2996","1994","Potatoes","Mid-West",0.6
"2997","1995","Potatoes","Mid-West",0.7
"2998","1996","Potatoes","Mid-West",0.6
"2999","1997","Potatoes","Mid-West",0.3
"3000","1998","Potatoes","Mid-West",0.5
"3001","1999","Potatoes","Mid-West",0.3
"3002","2000","Potatoes","Mid-West",0.4
"3003","2001","Potatoes","Mid-West",0.5
"3004","2002","Potatoes","Mid-West",0.6
"3005","2003","Potatoes","Mid-West",0.4
"3006","2004","Potatoes","Mid-West",0.3
"3007","2005","Potatoes","Mid-West",0.3
"3008","2006","Potatoes","Mid-West",0.3
"3009","2007","Potatoes","Mid-West",0.3
"3010","1991","Turnips","Mid-West",0.4
"3011","1992","Turnips","Mid-West",0.3
"3012","1993","Turnips","Mid-West",0.2
"3013","1994","Turnips","Mid-West",0.3
"3014","1995","Turnips","Mid-West",0
"3015","1996","Turnips","Mid-West",0.2
"3016","1997","Turnips","Mid-West",0.2
"3017","1998","Turnips","Mid-West",0.1
"3018","1999","Turnips","Mid-West",0.1
"3019","2000","Turnips","Mid-West",0.1
"3020","2001","Turnips","Mid-West",0.1
"3021","2002","Turnips","Mid-West",0.1
"3022","2003","Turnips","Mid-West",0
"3023","2004","Turnips","Mid-West",0.1
"3024","2005","Turnips","Mid-West",0
"3025","2006","Turnips","Mid-West",0
"3026","2007","Turnips","Mid-West",0
"3027","1991","Beet","Mid-West",1.4
"3028","1992","Beet","Mid-West",1.5
"3029","1993","Beet","Mid-West",1.3
"3030","1994","Beet","Mid-West",1.5
"3031","1995","Beet","Mid-West",1.2
"3032","1996","Beet","Mid-West",0.9
"3033","1997","Beet","Mid-West",1.1
"3034","1998","Beet","Mid-West",1
"3035","1999","Beet","Mid-West",0.9
"3036","2000","Beet","Mid-West",1.4
"3037","2001","Beet","Mid-West",1.7
"3038","2002","Beet","Mid-West",1.7
"3039","2003","Beet","Mid-West",1.7
"3040","2004","Beet","Mid-West",1.8
"3041","2005","Beet","Mid-West",1.8
"3042","2006","Beet","Mid-West",0.4
"3043","2007","Beet","Mid-West",0.3
"3044","1991","Sugar beet","Mid-West",1
"3045","1992","Sugar beet","Mid-West",1.1
"3046","1993","Sugar beet","Mid-West",0.9
"3047","1994","Sugar beet","Mid-West",1.1
"3048","1995","Sugar beet","Mid-West",0.9
"3049","1996","Sugar beet","Mid-West",0.7
"3050","1997","Sugar beet","Mid-West",0.8
"3051","1998","Sugar beet","Mid-West",0.8
"3052","1999","Sugar beet","Mid-West",0.7
"3053","2000","Sugar beet","Mid-West",1.2
"3054","2001","Sugar beet","Mid-West",1.6
"3055","2002","Sugar beet","Mid-West",1.6
"3056","2003","Sugar beet","Mid-West",1.6
"3057","2004","Sugar beet","Mid-West",1.6
"3058","2005","Sugar beet","Mid-West",1.6
"3059","2006","Sugar beet","Mid-West",0
"3060","2007","Sugar beet","Mid-West",NA
"3061","1991","Fodder beet","Mid-West",0.4
"3062","1992","Fodder beet","Mid-West",0.4
"3063","1993","Fodder beet","Mid-West",0.4
"3064","1994","Fodder beet","Mid-West",0.4
"3065","1995","Fodder beet","Mid-West",0.3
"3066","1996","Fodder beet","Mid-West",0.2
"3067","1997","Fodder beet","Mid-West",0.3
"3068","1998","Fodder beet","Mid-West",0.2
"3069","1999","Fodder beet","Mid-West",0.2
"3070","2000","Fodder beet","Mid-West",0.2
"3071","2001","Fodder beet","Mid-West",0.1
"3072","2002","Fodder beet","Mid-West",0.1
"3073","2003","Fodder beet","Mid-West",0.1
"3074","2004","Fodder beet","Mid-West",0.2
"3075","2005","Fodder beet","Mid-West",0.2
"3076","2006","Fodder beet","Mid-West",0.4
"3077","2007","Fodder beet","Mid-West",NA
"3078","1991","Kale and field cabbage","Mid-West",0.1
"3079","1992","Kale and field cabbage","Mid-West",0.1
"3080","1993","Kale and field cabbage","Mid-West",0.1
"3081","1994","Kale and field cabbage","Mid-West",0.1
"3082","1995","Kale and field cabbage","Mid-West",0.1
"3083","1996","Kale and field cabbage","Mid-West",0
"3084","1997","Kale and field cabbage","Mid-West",0.1
"3085","1998","Kale and field cabbage","Mid-West",0.1
"3086","1999","Kale and field cabbage","Mid-West",0.2
"3087","2000","Kale and field cabbage","Mid-West",NA
"3088","2001","Kale and field cabbage","Mid-West",NA
"3089","2002","Kale and field cabbage","Mid-West",NA
"3090","2003","Kale and field cabbage","Mid-West",NA
"3091","2004","Kale and field cabbage","Mid-West",NA
"3092","2005","Kale and field cabbage","Mid-West",NA
"3093","2006","Kale and field cabbage","Mid-West",NA
"3094","2007","Kale and field cabbage","Mid-West",NA
"3095","1991","Vegetables for sale","Mid-West",0.1
"3096","1992","Vegetables for sale","Mid-West",0.1
"3097","1993","Vegetables for sale","Mid-West",0.1
"3098","1994","Vegetables for sale","Mid-West",0.1
"3099","1995","Vegetables for sale","Mid-West",0.2
"3100","1996","Vegetables for sale","Mid-West",0.2
"3101","1997","Vegetables for sale","Mid-West",0.1
"3102","1998","Vegetables for sale","Mid-West",0.2
"3103","1999","Vegetables for sale","Mid-West",0.2
"3104","2000","Vegetables for sale","Mid-West",0.1
"3105","2001","Vegetables for sale","Mid-West",0.1
"3106","2002","Vegetables for sale","Mid-West",0.1
"3107","2003","Vegetables for sale","Mid-West",0.1
"3108","2004","Vegetables for sale","Mid-West",0.1
"3109","2005","Vegetables for sale","Mid-West",0.1
"3110","2006","Vegetables for sale","Mid-West",0.1
"3111","2007","Vegetables for sale","Mid-West",0.1
"3112","1991","Fruit","Mid-West",0
"3113","1992","Fruit","Mid-West",0
"3114","1993","Fruit","Mid-West",0
"3115","1994","Fruit","Mid-West",0
"3116","1995","Fruit","Mid-West",0
"3117","1996","Fruit","Mid-West",0
"3118","1997","Fruit","Mid-West",0
"3119","1998","Fruit","Mid-West",0
"3120","1999","Fruit","Mid-West",0
"3121","2000","Fruit","Mid-West",0
"3122","2001","Fruit","Mid-West",0
"3123","2002","Fruit","Mid-West",0.1
"3124","2003","Fruit","Mid-West",0
"3125","2004","Fruit","Mid-West",0
"3126","2005","Fruit","Mid-West",0.1
"3127","2006","Fruit","Mid-West",0
"3128","2007","Fruit","Mid-West",0
"3129","1991","Nurseries, horticulture etc.","Mid-West",0.1
"3130","1992","Nurseries, horticulture etc.","Mid-West",0.1
"3131","1993","Nurseries, horticulture etc.","Mid-West",0.1
"3132","1994","Nurseries, horticulture etc.","Mid-West",0.1
"3133","1995","Nurseries, horticulture etc.","Mid-West",0.1
"3134","1996","Nurseries, horticulture etc.","Mid-West",0.1
"3135","1997","Nurseries, horticulture etc.","Mid-West",0.1
"3136","1998","Nurseries, horticulture etc.","Mid-West",0
"3137","1999","Nurseries, horticulture etc.","Mid-West",0.1
"3138","2000","Nurseries, horticulture etc.","Mid-West",0.1
"3139","2001","Nurseries, horticulture etc.","Mid-West",0
"3140","2002","Nurseries, horticulture etc.","Mid-West",0.1
"3141","2003","Nurseries, horticulture etc.","Mid-West",0.1
"3142","2004","Nurseries, horticulture etc.","Mid-West",0.1
"3143","2005","Nurseries, horticulture etc.","Mid-West",0.1
"3144","2006","Nurseries, horticulture etc.","Mid-West",0.1
"3145","2007","Nurseries, horticulture etc.","Mid-West",0.1
"3146","1991","Other crops","Mid-West",0.2
"3147","1992","Other crops","Mid-West",0.4
"3148","1993","Other crops","Mid-West",0.8
"3149","1994","Other crops","Mid-West",0.9
"3150","1995","Other crops","Mid-West",1.4
"3151","1996","Other crops","Mid-West",0.5
"3152","1997","Other crops","Mid-West",0.9
"3153","1998","Other crops","Mid-West",1.3
"3154","1999","Other crops","Mid-West",0.8
"3155","2000","Other crops","Mid-West",0.9
"3156","2001","Other crops","Mid-West",1.2
"3157","2002","Other crops","Mid-West",1.6
"3158","2003","Other crops","Mid-West",0.7
"3159","2004","Other crops","Mid-West",0.5
"3160","2005","Other crops","Mid-West",0.7
"3161","2006","Other crops","Mid-West",1.1
"3162","2007","Other crops","Mid-West",0.9
"3163","1991","Total cereals","Mid-West",11.2
"3164","1992","Total cereals","Mid-West",11
"3165","1993","Total cereals","Mid-West",10.8
"3166","1994","Total cereals","Mid-West",9.5
"3167","1995","Total cereals","Mid-West",9.8
"3168","1996","Total cereals","Mid-West",10.7
"3169","1997","Total cereals","Mid-West",10.8
"3170","1998","Total cereals","Mid-West",10.4
"3171","1999","Total cereals","Mid-West",10
"3172","2000","Total cereals","Mid-West",10.1
"3173","2001","Total cereals","Mid-West",10.9
"3174","2002","Total cereals","Mid-West",10.9
"3175","2003","Total cereals","Mid-West",10.5
"3176","2004","Total cereals","Mid-West",11
"3177","2005","Total cereals","Mid-West",9.3
"3178","2006","Total cereals","Mid-West",8.5
"3179","2007","Total cereals","Mid-West",8.8
"3180","1991","Total wheat","Mid-West",1.1
"3181","1992","Total wheat","Mid-West",0.8
"3182","1993","Total wheat","Mid-West",0.5
"3183","1994","Total wheat","Mid-West",0.5
"3184","1995","Total wheat","Mid-West",0.4
"3185","1996","Total wheat","Mid-West",0.6
"3186","1997","Total wheat","Mid-West",0.6
"3187","1998","Total wheat","Mid-West",0.4
"3188","1999","Total wheat","Mid-West",0.2
"3189","2000","Total wheat","Mid-West",0.9
"3190","2001","Total wheat","Mid-West",0.9
"3191","2002","Total wheat","Mid-West",1.1
"3192","2003","Total wheat","Mid-West",1.8
"3193","2004","Total wheat","Mid-West",2
"3194","2005","Total wheat","Mid-West",1.7
"3195","2006","Total wheat","Mid-West",1.6
"3196","2007","Total wheat","Mid-West",1.7
"3197","1991","Winter wheat","Mid-West",0.7
"3198","1992","Winter wheat","Mid-West",0.5
"3199","1993","Winter wheat","Mid-West",0.3
"3200","1994","Winter wheat","Mid-West",0.4
"3201","1995","Winter wheat","Mid-West",0.3
"3202","1996","Winter wheat","Mid-West",0.5
"3203","1997","Winter wheat","Mid-West",0.5
"3204","1998","Winter wheat","Mid-West",0.4
"3205","1999","Winter wheat","Mid-West",0.1
"3206","2000","Winter wheat","Mid-West",0.6
"3207","2001","Winter wheat","Mid-West",0.3
"3208","2002","Winter wheat","Mid-West",0.7
"3209","2003","Winter wheat","Mid-West",0.8
"3210","2004","Winter wheat","Mid-West",0.8
"3211","2005","Winter wheat","Mid-West",0.7
"3212","2006","Winter wheat","Mid-West",0.5
"3213","2007","Winter wheat","Mid-West",0.6
"3214","1991","Spring wheat","Mid-West",0.4
"3215","1992","Spring wheat","Mid-West",0.3
"3216","1993","Spring wheat","Mid-West",0.2
"3217","1994","Spring wheat","Mid-West",0.1
"3218","1995","Spring wheat","Mid-West",0
"3219","1996","Spring wheat","Mid-West",0
"3220","1997","Spring wheat","Mid-West",0.1
"3221","1998","Spring wheat","Mid-West",0.1
"3222","1999","Spring wheat","Mid-West",0.1
"3223","2000","Spring wheat","Mid-West",0.3
"3224","2001","Spring wheat","Mid-West",0.7
"3225","2002","Spring wheat","Mid-West",0.4
"3226","2003","Spring wheat","Mid-West",0.9
"3227","2004","Spring wheat","Mid-West",1.2
"3228","2005","Spring wheat","Mid-West",1
"3229","2006","Spring wheat","Mid-West",1.2
"3230","2007","Spring wheat","Mid-West",1.2
"3231","1991","Total oats","Mid-West",0.5
"3232","1992","Total oats","Mid-West",0.4
"3233","1993","Total oats","Mid-West",0.4
"3234","1994","Total oats","Mid-West",0.4
"3235","1995","Total oats","Mid-West",0.4
"3236","1996","Total oats","Mid-West",0.3
"3237","1997","Total oats","Mid-West",0.6
"3238","1998","Total oats","Mid-West",0.2
"3239","1999","Total oats","Mid-West",0.7
"3240","2000","Total oats","Mid-West",0.3
"3241","2001","Total oats","Mid-West",0.4
"3242","2002","Total oats","Mid-West",0.5
"3243","2003","Total oats","Mid-West",0.4
"3244","2004","Total oats","Mid-West",0.3
"3245","2005","Total oats","Mid-West",0.5
"3246","2006","Total oats","Mid-West",0.3
"3247","2007","Total oats","Mid-West",0.3
"3248","1991","Winter oats","Mid-West",0.2
"3249","1992","Winter oats","Mid-West",0.1
