"","Year","Farm.Land.Utilisation","Rural.District","value"
"29035","1955","Crops, hay and pasture","Co. Tipperary S.R.",187741
"29036","1960","Crops, hay and pasture","Co. Tipperary S.R.",182966
"29037","1965","Crops, hay and pasture","Co. Tipperary S.R.",184038
"29038","1970","Crops, hay and pasture","Co. Tipperary S.R.",187051
"29039","1975","Crops, hay and pasture","Co. Tipperary S.R.",185087
"29040","1980","Crops, hay and pasture","Co. Tipperary S.R.",185594
"29041","1926","Crops including fruit and horticultural","Co. Tipperary S.R.",15959
"29042","1933","Crops including fruit and horticultural","Co. Tipperary S.R.",13877
"29043","1955","Crops including fruit and horticultural","Co. Tipperary S.R.",23139
"29044","1960","Crops including fruit and horticultural","Co. Tipperary S.R.",22502
"29045","1965","Crops including fruit and horticultural","Co. Tipperary S.R.",17626
"29046","1970","Crops including fruit and horticultural","Co. Tipperary S.R.",17584
"29047","1975","Crops including fruit and horticultural","Co. Tipperary S.R.",14871
"29048","1980","Crops including fruit and horticultural","Co. Tipperary S.R.",20392
"29049","1926","Corn crops","Co. Tipperary S.R.",7565
"29050","1933","Corn crops","Co. Tipperary S.R.",6985
"29051","1955","Corn crops","Co. Tipperary S.R.",15550
"29052","1960","Corn crops","Co. Tipperary S.R.",15551
"29053","1965","Corn crops","Co. Tipperary S.R.",12236
"29054","1970","Corn crops","Co. Tipperary S.R.",13286
"29055","1975","Corn crops","Co. Tipperary S.R.",11506
"29056","1980","Corn crops","Co. Tipperary S.R.",17494
"29057","1926","Wheat","Co. Tipperary S.R.",584
"29058","1933","Wheat","Co. Tipperary S.R.",792
"29059","1955","Wheat","Co. Tipperary S.R.",9136
"29060","1960","Wheat","Co. Tipperary S.R.",8278
"29061","1965","Wheat","Co. Tipperary S.R.",3478
"29062","1970","Wheat","Co. Tipperary S.R.",4147
"29063","1975","Wheat","Co. Tipperary S.R.",2354
"29064","1980","Wheat","Co. Tipperary S.R.",3416
"29065","1926","Spring wheat","Co. Tipperary S.R.",NA
"29066","1933","Spring wheat","Co. Tipperary S.R.",NA
"29067","1955","Spring wheat","Co. Tipperary S.R.",NA
"29068","1960","Spring wheat","Co. Tipperary S.R.",NA
"29069","1965","Spring wheat","Co. Tipperary S.R.",NA
"29070","1970","Spring wheat","Co. Tipperary S.R.",NA
"29071","1975","Spring wheat","Co. Tipperary S.R.",NA
"29072","1980","Spring wheat","Co. Tipperary S.R.",2408
"29073","1926","Winter wheat","Co. Tipperary S.R.",NA
"29074","1933","Winter wheat","Co. Tipperary S.R.",NA
"29075","1955","Winter wheat","Co. Tipperary S.R.",NA
"29076","1960","Winter wheat","Co. Tipperary S.R.",NA
"29077","1965","Winter wheat","Co. Tipperary S.R.",NA
"29078","1970","Winter wheat","Co. Tipperary S.R.",NA
"29079","1975","Winter wheat","Co. Tipperary S.R.",NA
"29080","1980","Winter wheat","Co. Tipperary S.R.",1008
"29081","1926","Oats","Co. Tipperary S.R.",5948
"29082","1933","Oats","Co. Tipperary S.R.",5439
"29083","1955","Oats","Co. Tipperary S.R.",4248
"29084","1960","Oats","Co. Tipperary S.R.",2981
"29085","1965","Oats","Co. Tipperary S.R.",2047
"29086","1970","Oats","Co. Tipperary S.R.",1186
"29087","1975","Oats","Co. Tipperary S.R.",1032
"29088","1980","Oats","Co. Tipperary S.R.",458
"29089","1926","Barley","Co. Tipperary S.R.",958
"29090","1933","Barley","Co. Tipperary S.R.",750
"29091","1955","Barley","Co. Tipperary S.R.",2151
"29092","1960","Barley","Co. Tipperary S.R.",4200
"29093","1965","Barley","Co. Tipperary S.R.",6593
"29094","1970","Barley","Co. Tipperary S.R.",7931
"29095","1975","Barley","Co. Tipperary S.R.",8074
"29096","1980","Barley","Co. Tipperary S.R.",13558
"29097","1926","Malting barley","Co. Tipperary S.R.",NA
"29098","1933","Malting barley","Co. Tipperary S.R.",NA
"29099","1955","Malting barley","Co. Tipperary S.R.",NA
"29100","1960","Malting barley","Co. Tipperary S.R.",463
"29101","1965","Malting barley","Co. Tipperary S.R.",571
"29102","1970","Malting barley","Co. Tipperary S.R.",350
"29103","1975","Malting barley","Co. Tipperary S.R.",226
"29104","1980","Malting barley","Co. Tipperary S.R.",339
"29105","1926","Other barley","Co. Tipperary S.R.",NA
"29106","1933","Other barley","Co. Tipperary S.R.",NA
"29107","1955","Other barley","Co. Tipperary S.R.",NA
"29108","1960","Other barley","Co. Tipperary S.R.",3737
"29109","1965","Other barley","Co. Tipperary S.R.",6022
"29110","1970","Other barley","Co. Tipperary S.R.",7581
"29111","1975","Other barley","Co. Tipperary S.R.",7848
"29112","1980","Other barley","Co. Tipperary S.R.",13219
"29113","1926","Spring barley","Co. Tipperary S.R.",NA
"29114","1933","Spring barley","Co. Tipperary S.R.",NA
"29115","1955","Spring barley","Co. Tipperary S.R.",NA
"29116","1960","Spring barley","Co. Tipperary S.R.",NA
"29117","1965","Spring barley","Co. Tipperary S.R.",NA
"29118","1970","Spring barley","Co. Tipperary S.R.",NA
"29119","1975","Spring barley","Co. Tipperary S.R.",NA
"29120","1980","Spring barley","Co. Tipperary S.R.",12460
"29121","1926","Winter barley","Co. Tipperary S.R.",NA
"29122","1933","Winter barley","Co. Tipperary S.R.",NA
"29123","1955","Winter barley","Co. Tipperary S.R.",NA
"29124","1960","Winter barley","Co. Tipperary S.R.",NA
"29125","1965","Winter barley","Co. Tipperary S.R.",NA
"29126","1970","Winter barley","Co. Tipperary S.R.",NA
"29127","1975","Winter barley","Co. Tipperary S.R.",NA
"29128","1980","Winter barley","Co. Tipperary S.R.",759
"29129","1926","Other corn crops","Co. Tipperary S.R.",76
"29130","1933","Other corn crops","Co. Tipperary S.R.",3
"29131","1955","Other corn crops","Co. Tipperary S.R.",15
"29132","1960","Other corn crops","Co. Tipperary S.R.",91
"29133","1965","Other corn crops","Co. Tipperary S.R.",117
"29134","1970","Other corn crops","Co. Tipperary S.R.",22
"29135","1975","Other corn crops","Co. Tipperary S.R.",47
"29136","1980","Other corn crops","Co. Tipperary S.R.",62
"29137","1926","Root and green crops","Co. Tipperary S.R.",8190
"29138","1933","Root and green crops","Co. Tipperary S.R.",6713
"29139","1955","Root and green crops","Co. Tipperary S.R.",7347
"29140","1960","Root and green crops","Co. Tipperary S.R.",6627
"29141","1965","Root and green crops","Co. Tipperary S.R.",5060
"29142","1970","Root and green crops","Co. Tipperary S.R.",4031
"29143","1975","Root and green crops","Co. Tipperary S.R.",3153
"29144","1980","Root and green crops","Co. Tipperary S.R.",2681
"29145","1926","Potatoes","Co. Tipperary S.R.",3283
"29146","1933","Potatoes","Co. Tipperary S.R.",2722
"29147","1955","Potatoes","Co. Tipperary S.R.",2205
"29148","1960","Potatoes","Co. Tipperary S.R.",1723
"29149","1965","Potatoes","Co. Tipperary S.R.",1216
"29150","1970","Potatoes","Co. Tipperary S.R.",1014
"29151","1975","Potatoes","Co. Tipperary S.R.",738
"29152","1980","Potatoes","Co. Tipperary S.R.",711
"29153","1926","Turnips","Co. Tipperary S.R.",2518
"29154","1933","Turnips","Co. Tipperary S.R.",2023
"29155","1955","Turnips","Co. Tipperary S.R.",1892
"29156","1960","Turnips","Co. Tipperary S.R.",1597
"29157","1965","Turnips","Co. Tipperary S.R.",1656
"29158","1970","Turnips","Co. Tipperary S.R.",1367
"29159","1975","Turnips","Co. Tipperary S.R.",778
"29160","1980","Turnips","Co. Tipperary S.R.",396
"29161","1926","Sugar beet","Co. Tipperary S.R.",13
"29162","1933","Sugar beet","Co. Tipperary S.R.",10
"29163","1955","Sugar beet","Co. Tipperary S.R.",1174
"29164","1960","Sugar beet","Co. Tipperary S.R.",1219
"29165","1965","Sugar beet","Co. Tipperary S.R.",911
"29166","1970","Sugar beet","Co. Tipperary S.R.",876
"29167","1975","Sugar beet","Co. Tipperary S.R.",1282
"29168","1980","Sugar beet","Co. Tipperary S.R.",1328
"29169","1926","Other root and green crops","Co. Tipperary S.R.",2376
"29170","1933","Other root and green crops","Co. Tipperary S.R.",1958
"29171","1955","Other root and green crops","Co. Tipperary S.R.",2076
"29172","1960","Other root and green crops","Co. Tipperary S.R.",2087
"29173","1965","Other root and green crops","Co. Tipperary S.R.",1276
"29174","1970","Other root and green crops","Co. Tipperary S.R.",775
"29175","1975","Other root and green crops","Co. Tipperary S.R.",356
"29176","1980","Other root and green crops","Co. Tipperary S.R.",246
"29177","1926","Fruit and horticulture","Co. Tipperary S.R.",204
"29178","1933","Fruit and horticulture","Co. Tipperary S.R.",179
"29179","1955","Fruit and horticulture","Co. Tipperary S.R.",242
"29180","1960","Fruit and horticulture","Co. Tipperary S.R.",324
"29181","1965","Fruit and horticulture","Co. Tipperary S.R.",330
"29182","1970","Fruit and horticulture","Co. Tipperary S.R.",267
"29183","1975","Fruit and horticulture","Co. Tipperary S.R.",212
"29184","1980","Fruit and horticulture","Co. Tipperary S.R.",217
"29185","1926","Apples","Co. Tipperary S.R.",NA
"29186","1933","Apples","Co. Tipperary S.R.",NA
"29187","1955","Apples","Co. Tipperary S.R.",NA
"29188","1960","Apples","Co. Tipperary S.R.",NA
"29189","1965","Apples","Co. Tipperary S.R.",294
"29190","1970","Apples","Co. Tipperary S.R.",227
"29191","1975","Apples","Co. Tipperary S.R.",159
"29192","1980","Apples","Co. Tipperary S.R.",135
"29193","1926","Fruit excluding apples","Co. Tipperary S.R.",NA
"29194","1933","Fruit excluding apples","Co. Tipperary S.R.",NA
"29195","1955","Fruit excluding apples","Co. Tipperary S.R.",NA
"29196","1960","Fruit excluding apples","Co. Tipperary S.R.",NA
"29197","1965","Fruit excluding apples","Co. Tipperary S.R.",17
"29198","1970","Fruit excluding apples","Co. Tipperary S.R.",9
"29199","1975","Fruit excluding apples","Co. Tipperary S.R.",25
"29200","1980","Fruit excluding apples","Co. Tipperary S.R.",32
"29201","1926","Horticultural bulbs, flowers and bushes","Co. Tipperary S.R.",NA
"29202","1933","Horticultural bulbs, flowers and bushes","Co. Tipperary S.R.",NA
"29203","1955","Horticultural bulbs, flowers and bushes","Co. Tipperary S.R.",NA
"29204","1960","Horticultural bulbs, flowers and bushes","Co. Tipperary S.R.",27
"29205","1965","Horticultural bulbs, flowers and bushes","Co. Tipperary S.R.",19
"29206","1970","Horticultural bulbs, flowers and bushes","Co. Tipperary S.R.",30
"29207","1975","Horticultural bulbs, flowers and bushes","Co. Tipperary S.R.",28
"29208","1980","Horticultural bulbs, flowers and bushes","Co. Tipperary S.R.",50
"29209","1926","Hay","Co. Tipperary S.R.",35771
"29210","1933","Hay","Co. Tipperary S.R.",33663
"29211","1955","Hay","Co. Tipperary S.R.",27680
"29212","1960","Hay","Co. Tipperary S.R.",29312
"29213","1965","Hay","Co. Tipperary S.R.",26937
"29214","1970","Hay","Co. Tipperary S.R.",34720
"29215","1975","Hay","Co. Tipperary S.R.",41237
"29216","1980","Hay","Co. Tipperary S.R.",49426
"29217","1926","Rye grass for seed","Co. Tipperary S.R.",NA
"29218","1933","Rye grass for seed","Co. Tipperary S.R.",NA
"29219","1955","Rye grass for seed","Co. Tipperary S.R.",NA
"29220","1960","Rye grass for seed","Co. Tipperary S.R.",86
"29221","1965","Rye grass for seed","Co. Tipperary S.R.",49
"29222","1970","Rye grass for seed","Co. Tipperary S.R.",0
"29223","1975","Rye grass for seed","Co. Tipperary S.R.",0
"29224","1980","Rye grass for seed","Co. Tipperary S.R.",38
"29225","1926","First to fourth years hay","Co. Tipperary S.R.",NA
"29226","1933","First to fourth years hay","Co. Tipperary S.R.",NA
"29227","1955","First to fourth years hay","Co. Tipperary S.R.",NA
"29228","1960","First to fourth years hay","Co. Tipperary S.R.",NA
"29229","1965","First to fourth years hay","Co. Tipperary S.R.",NA
"29230","1970","First to fourth years hay","Co. Tipperary S.R.",NA
"29231","1975","First to fourth years hay","Co. Tipperary S.R.",5377
"29232","1980","First to fourth years hay","Co. Tipperary S.R.",8629
"29233","1926","Permanent meadow","Co. Tipperary S.R.",NA
"29234","1933","Permanent meadow","Co. Tipperary S.R.",NA
"29235","1955","Permanent meadow","Co. Tipperary S.R.",NA
"29236","1960","Permanent meadow","Co. Tipperary S.R.",NA
"29237","1965","Permanent meadow","Co. Tipperary S.R.",NA
"29238","1970","Permanent meadow","Co. Tipperary S.R.",NA
"29239","1975","Permanent meadow","Co. Tipperary S.R.",35860
"29240","1980","Permanent meadow","Co. Tipperary S.R.",40759
"29241","1926","Pasture","Co. Tipperary S.R.",135484
"29242","1933","Pasture","Co. Tipperary S.R.",134418
"29243","1955","Pasture","Co. Tipperary S.R.",136922
"29244","1960","Pasture","Co. Tipperary S.R.",131153
"29245","1965","Pasture","Co. Tipperary S.R.",139475
"29246","1970","Pasture","Co. Tipperary S.R.",134746
"29247","1975","Pasture","Co. Tipperary S.R.",128979
"29248","1980","Pasture","Co. Tipperary S.R.",115776
"29249","1926","Rough grazing in use","Co. Tipperary S.R.",NA
"29250","1933","Rough grazing in use","Co. Tipperary S.R.",NA
"29251","1955","Rough grazing in use","Co. Tipperary S.R.",NA
"29252","1960","Rough grazing in use","Co. Tipperary S.R.",NA
"29253","1965","Rough grazing in use","Co. Tipperary S.R.",NA
"29254","1970","Rough grazing in use","Co. Tipperary S.R.",NA
"29255","1975","Rough grazing in use","Co. Tipperary S.R.",17150
"29256","1980","Rough grazing in use","Co. Tipperary S.R.",14499
"29257","1926","Other land","Co. Tipperary S.R.",NA
"29258","1933","Other land","Co. Tipperary S.R.",NA
"29259","1955","Other land","Co. Tipperary S.R.",NA
"29260","1960","Other land","Co. Tipperary S.R.",NA
"29261","1965","Other land","Co. Tipperary S.R.",NA
"29262","1970","Other land","Co. Tipperary S.R.",NA
"29263","1975","Other land","Co. Tipperary S.R.",23592
"29264","1980","Other land","Co. Tipperary S.R.",25735
"29265","1926","Total Area","Carrick-on-Suir No.1",10570
"29266","1933","Total Area","Carrick-on-Suir No.1",10570
"29267","1955","Total Area","Carrick-on-Suir No.1",10570
"29268","1960","Total Area","Carrick-on-Suir No.1",10638
"29269","1965","Total Area","Carrick-on-Suir No.1",10570
"29270","1970","Total Area","Carrick-on-Suir No.1",10570
"29271","1975","Total Area","Carrick-on-Suir No.1",10570
"29272","1980","Total Area","Carrick-on-Suir No.1",10569
"29273","1926","Crops, hay, pasture and rough grazing","Carrick-on-Suir No.1",NA
"29274","1933","Crops, hay, pasture and rough grazing","Carrick-on-Suir No.1",NA
"29275","1955","Crops, hay, pasture and rough grazing","Carrick-on-Suir No.1",NA
"29276","1960","Crops, hay, pasture and rough grazing","Carrick-on-Suir No.1",NA
"29277","1965","Crops, hay, pasture and rough grazing","Carrick-on-Suir No.1",NA
"29278","1970","Crops, hay, pasture and rough grazing","Carrick-on-Suir No.1",NA
"29279","1975","Crops, hay, pasture and rough grazing","Carrick-on-Suir No.1",9623
"29280","1980","Crops, hay, pasture and rough grazing","Carrick-on-Suir No.1",9512
"29281","1926","Crops, hay and pasture","Carrick-on-Suir No.1",9349
"29282","1933","Crops, hay and pasture","Carrick-on-Suir No.1",9015
"29283","1955","Crops, hay and pasture","Carrick-on-Suir No.1",9524
"29284","1960","Crops, hay and pasture","Carrick-on-Suir No.1",9075
"29285","1965","Crops, hay and pasture","Carrick-on-Suir No.1",9345
"29286","1970","Crops, hay and pasture","Carrick-on-Suir No.1",9645
"29287","1975","Crops, hay and pasture","Carrick-on-Suir No.1",9479
"29288","1980","Crops, hay and pasture","Carrick-on-Suir No.1",9345
"29289","1926","Crops including fruit and horticultural","Carrick-on-Suir No.1",602
"29290","1933","Crops including fruit and horticultural","Carrick-on-Suir No.1",527
"29291","1955","Crops including fruit and horticultural","Carrick-on-Suir No.1",1223
"29292","1960","Crops including fruit and horticultural","Carrick-on-Suir No.1",1412
"29293","1965","Crops including fruit and horticultural","Carrick-on-Suir No.1",1086
"29294","1970","Crops including fruit and horticultural","Carrick-on-Suir No.1",1077
"29295","1975","Crops including fruit and horticultural","Carrick-on-Suir No.1",1221
"29296","1980","Crops including fruit and horticultural","Carrick-on-Suir No.1",2105
"29297","1926","Corn crops","Carrick-on-Suir No.1",287
"29298","1933","Corn crops","Carrick-on-Suir No.1",267
"29299","1955","Corn crops","Carrick-on-Suir No.1",983
"29300","1960","Corn crops","Carrick-on-Suir No.1",1108
"29301","1965","Corn crops","Carrick-on-Suir No.1",884
"29302","1970","Corn crops","Carrick-on-Suir No.1",947
"29303","1975","Corn crops","Carrick-on-Suir No.1",1101
"29304","1980","Corn crops","Carrick-on-Suir No.1",1998
"29305","1926","Wheat","Carrick-on-Suir No.1",15
"29306","1933","Wheat","Carrick-on-Suir No.1",23
